SubID,StudyTrial,TestTrial,Run,Valence,SoundID,ObjID,SceneID,ColStudy,SceStudy,Ques1,Ques2,ColTest,SceneTest,ColReinstatement,SceneReinstatement,EmotionResponse,EmotionRT,EmotionCorrect,EmotionConfidence,ColResp,ColRT,SceneResp,SceneRT,ColError,SceError,ColAbsError,SceAbsError,onsetEncoding,onsetRemember,onsetEmotion,onsetColor,onsetScene,EmotionMemory,ColorCorrect,SceneCorrect,ColorQuality,SceneQuality,MemoryQuantity,MemoryQuality
16,123,125,6,Neutral,12,17,4,21,183,1,2,201,111,180,72,3,0.658385948,1,0,351,2.630939418,186,1.826064065,-30,3,30,3,21.01621183,274.5107678,278.5106501,281.5105857,288.5104947,0.5,1,1,0.411764706,0.909090909,3,1.820855615
16,134,126,6,Neutral,10,73,1,294,156,2,1,123,303,171,147,4,0.286795121,1,1,309,2.499453464,141,2.484315424,15,-15,15,15,98.01456145,296.0102759,300.0102215,310.010008,303.0101246,1,1,1,0.705882353,0.545454545,3,2.251336898
16,127,127,6,Negative,4,62,6,126,90,2,1,15,27,111,63,1,0.371724047,1,1,150,3.247843899,18,5.575733255,24,-72,24,72,49.01560821,317.5098196,321.5097659,331.5095434,324.5097265,1,1,0,0.529411765,0,2,1.529411765
16,136,128,6,Neutral,12,5,6,354,306,1,2,39,75,45,129,1,0.375866229,0,1,342,2.708142773,309,2.844272213,-12,3,12,3,112.0142357,339.0093931,343.0092729,346.0092045,353.0090584,0,1,1,0.764705882,0.909090909,2,1.673796791
16,121,129,6,Negative,6,84,3,234,213,2,1,306,9,72,156,1,0.331673376,1,1,252,1.592619874,180,4.272527264,18,-33,18,33,7.016521505,360.508961,364.5088115,374.5085956,367.5087441,1,1,0,0.647058824,0,2,1.647058824
16,125,130,6,Negative,1,33,4,228,90,1,2,279,114,51,24,1,0.30400545,1,1,231,2.361971357,78,1.845043162,3,-12,3,12,35.01586519,382.0084654,386.0083531,389.0082857,396.0081341,1,1,1,0.941176471,0.636363636,3,2.577540107
16,124,131,6,Neutral,10,109,5,306,270,2,1,18,240,72,30,4,0.38052443,1,1,285,1.937422882,273,4.090241841,-21,3,21,3,28.01606058,403.5079786,407.5078962,417.5076809,410.5078667,1,1,1,0.588235294,0.909090909,3,2.497326203
16,133,132,6,Neutral,8,131,2,72,360,2,1,51,117,21,117,4,0.3166267,1,1,48,2.197798268,6,2.957682445,-24,6,24,6,91.01470894,425.0075668,429.1074367,439.0072219,432.0073697,1,1,1,0.529411765,0.818181818,3,2.347593583
16,122,133,6,Negative,5,37,2,12,66,2,1,339,150,33,84,1,0.381665625,1,1,3,2.309170431,75,2.386070949,-9,9,9,9,14.01635691,446.507093,450.5069719,460.5067923,453.5069096,1,1,1,0.823529412,0.727272727,3,2.550802139
16,138,134,6,Neutral,11,121,1,162,330,1,2,324,261,162,69,4,0.418564406,1,1,186,3.166470303,330,1.471566538,24,0,24,0,126.0139633,468.0066292,472.0065129,475.0064437,482.0063219,1,1,1,0.529411765,1,3,2.529411765
16,144,135,6,Neutral,7,128,4,153,243,2,1,150,87,3,156,4,0.446851692,1,1,150,0.434986334,243,2.955808625,-3,0,3,0,168.013062,489.5061743,493.5060559,503.5058365,496.5060223,1,1,1,0.941176471,1,3,2.941176471
16,135,136,6,Neutral,9,35,2,162,294,1,2,342,195,180,99,4,0.395044137,1,1,114,4.656206555,321,1.799340919,-48,27,48,27,105.0143674,511.0057142,515.0055924,518.005527,525.0054072,1,1,1,0.058823529,0.181818182,3,1.240641711
16,142,137,6,Neutral,9,66,3,348,42,1,2,195,3,153,39,4,0.318773243,1,1,354,2.627588032,48,1.891757595,6,6,6,6,154.0133546,532.5052651,536.5051347,539.5051285,546.5049181,1,1,1,0.882352941,0.818181818,3,2.700534759
16,128,138,6,Negative,3,27,3,102,300,1,2,3,219,99,81,1,0.291244245,1,1,351,4.721994872,312,1.937180613,-111,12,111,12,56.01541624,554.0047937,558.0046726,561.0046076,568.0044556,1,0,1,0,0.636363636,2,1.636363636
16,129,139,6,Negative,2,102,2,282,222,1,2,216,261,66,39,1,1.768518365,1,1,276,3.259701386,228,1.771884465,-6,6,6,6,63.0153064,575.5043254,579.5042111,582.5208442,589.5206618,1,1,1,0.882352941,0.818181818,3,2.700534759
16,131,140,6,Neutral,7,98,6,78,147,2,1,165,24,87,123,1,0.339620342,0,1,75,2.288918053,168,3.544091503,-3,21,3,21,77.01500424,597.0038565,601.0204224,611.0035369,604.0203988,0,1,1,0.941176471,0.363636364,2,1.304812834
